Key,Description,en,korean
DemoText_746066,UI Text,DEMO,데모
SelectPilotButton_745718,VR Interactable,Select Existing Pilot,파일럿을 선택합니다.
Text_742314,UI Text,Select Pilot,파일럿 선택하기
NewPilotButton_745346,VR Interactable,Create New Pilot,새로운 파일럿을 생성합니다.
Text_742072,UI Text,New Pilot,새로운 파일럿 생성
QuitButton_740624,VR Interactable,Quit Game,게임 종료
Text_742474,UI Text,QUIT,종료
SettingsButton_747456,VR Interactable,Settings,설정
Text_740102,UI Text,"Settings
","설정
"
CreditsButton_-102322,VR Interactable,Game Credits,게임 크레딧
Text_726044,UI Text,Credits,크레딧
VTOL VR (1)_747232,UI Text,VTEDIT,VTEDIT
EditorButton_743918,VR Interactable,Mission Editor,미션 편집기
MapEditorButton_747578,VR Interactable,Map Editor,지도 편집기
VTEDIT (1)_729932,UI Text,VT,VT
VTOL VR_744834,UI Text,VTOL VR,VTOL VR
Text_ACReadyToFly,UI Text,Ready to fly?,출격 하시겠습니까?
Text_AC_SelectVehicle,UI Text,Select Vehicle,기체 선택
Text_ACNewPilot,UI Text,New Pilot?,새로운 파일럿을 생성하시겠습니까?
Tutorials Button_-4966024,VR Interactable,Tutorials,튜토리얼
Text_ACTutorial,UI Text,Tutorial,튜토리얼
Label_514208,UI Text,Pilot Name:,파일럿 이름
EditNameButton_745868,VR Interactable,Edit Name,이름 편집
Text_743158,UI Text,Edit name,이름 편집
BackButton_744184,VR Interactable,Back To Main,메인으로 돌아가기
Text_742734,UI Text,Back,이전으로
StartButton_745400,VR Interactable,Start New Pilot,새로운 파일럿 생성
Text_744692,UI Text,Start,시작 하기
InvalidName_740436,UI Text,[ Invalid Name ],[유효하지 않은 이름]
DeleteButton_740016,VR Interactable,Delete Pilot,파일럿 삭제
PILOTS_745628,UI Text,Pilots,파일럿들
NextPilotButton_747706,VR Interactable,Next Pilot,다음 파일럿
PrevPilotButton_741810,VR Interactable,Previous Pilot,이전 파일럿
AreYouSure_743668,UI Text,Are you sure you want to delete?,정말로 삭제하시겠습니끼?
Text_740860,UI Text,"Yes, Delete",삭제
NoDeleteButton_743870,VR Interactable,Cancel Delete,삭제 취소
Text_745554,UI Text,"No, keep",취소
PILOTS_740912,UI Text,NO PILOTS,파일럿 없음
PilotName_742564,UI Text,BDynamics,BDynamics
Pilot name_744616,UI Text,Pilot name,파일럿 이름
EditPilotColorsButton_741944,VR Interactable,Edit Colors,색상 편집
WorkshopBrowserButton_747088,VR Interactable,Steam Workshop Browser,스팀 워크샵 브라우져
Text_509830,UI Text,Steam Workshop,스팀 워크샵
VEHICLES_747786,UI Text,VEHICLES,기체 목록
Text_743784,UI Text,SELECT VEHICLE,기체 선택하기
NextVehButton_747140,VR Interactable,Next Vehicle,다음 기체
PrevVehButton_746350,VR Interactable,Previous Vehicle,이전 기체
NO VEHICLES_740194,UI Text,NO VEHICLES,기체 없음
Title_731538,UI Text,TUTORIALS,튜토리얼
NextButton_-4973280,VR Interactable,Next Tutorial,다음 튜토리얼
PrevButton_-4973282,VR Interactable,Previous Tutorial,이전 튜토리얼
SelectButton_-645320,VR Interactable,Select Tutorial,튜토리얼 선택
Text_-645448,UI Text,Select,선택
Text_-645234,UI Text,Radar,레이더
Text_-645284,UI Text,F/A-26B,F/A-26B
ScrollInteractable_-645206,VR Interactable,Scroll,스크롤
Name_747128,UI Text,VTOL VR - Steam Workshop Browser,스팀 워크샵 브라우져
ScenariosButton_746792,VR Interactable,Scenarios,시나리오 목록
CampaignsButton_745636,VR Interactable,Campaigns,캠패인 목록
Text_746638,UI Text,Maps,지도 목록
Name (1)_747156,UI Text,STEAM WORKSHOP,스팀 워크샵
Placeholder_742056,UI Text,search...,검색...
ButtonSearch_745798,VR Interactable,Search,검색
SortOrderDropdown_742490,VR Interactable,Sort Dropdown,드롭 다운 정렬
Text_743832,UI Text,Entry Button,입장 버튼
AnyVehicleButton_741020,VR Interactable,Any Vehicle,모든 기체
AV42Button_746716,VR Interactable,AV-42C,A/V-42C
Text_744672,UI Text,AV-42C,A/V-42C
missionTypeText (1)_742360,UI Text,Select vehicle,기체 선택
F-45AButton_744238,VR Interactable,F-45A,F-45A
VotesTab_743458,VR Interactable,Votes,득표 목록
FavesTab_744050,VR Interactable,Favorited,즐겨찾기
VotesTxt_747534,UI Text,Faves,즐겨찾기
SubsTab_746936,VR Interactable,Subscriptions,구독 수
VotesTxt_740374,UI Text,Subs,구독 수
NewTab_744656,VR Interactable,New,최신 순
VotesTxt_740444,UI Text,Newest,최신 순
